time,id_s,iq_s,vd_s,vq_s,W,T
0.0134,-1.089352793,0.756934808,125.0031693,-354.1763323,94.01305512,-0.115666466
0.0135,-1.075498944,0.716043116,138.2633218,-349.213288,94.0093465,-0.113817803
0.0136,-1.060129562,0.675706685,151.3269945,-343.7539926,94.00569954,-0.111845106
0.0137,-1.043266805,0.635982178,164.1756233,-337.8062039,94.00211822,-0.109749421
0.0138,-1.024934945,0.596925374,176.7909496,-331.3783741,93.99860651,-0.107531995
0.0139,-1.00516034,0.558591095,189.1550462,-324.4796375,93.99516831,-0.105194278
0.014,-0.98397139,0.521033122,201.2503432,-317.1197976,93.99180748,-0.102737923
0.0141,-0.961398499,0.484304124,213.0596524,-309.3093131,93.98852784,-0.100164785
0.0142,-0.937474033,0.44845558,224.5661922,-301.0592832,93.98533311,-0.097476918
0.0143,-0.912232269,0.413537709,235.7536112,-292.3814315,93.98222697,-0.09467658
0.0144,-0.885709351,0.379599396,246.6060113,-283.2880898,93.97921301,-0.091766227
0.0145,-0.857943234,0.346688123,257.1079709,-273.7921803,93.97629475,-0.088748513
0.0146,-0.828973633,0.314849907,267.2445659,-263.907197,93.97347561,-0.08562629
0.0147,-0.798841964,0.284129226,277.0013918,-253.6471873,93.97075892,-0.082402601
0.0148,-0.767591285,0.254568965,286.3645836,-243.0267309,93.9681479,-0.079080682
0.0149,-0.735266237,0.226210348,295.3208356,-232.0609203,93.96564568,-0.075663958
0.015,-0.701912976,0.199092885,303.8574205,-220.7653385,93.96325527,-0.072156038
0.0151,-0.667579111,0.173254316,311.9622074,-209.156037,93.96097953,-0.068560713
0.0152,-0.632313634,0.148730551,319.623679,-197.2495133,93.95882125,-0.064881954
0.0153,-0.59616685,0.125555631,326.8309478,-185.0626873,93.95678305,-0.061123903
0.0154,-0.559190306,0.103761667,333.573772,-172.612877,93.95486742,-0.057290871
0.0155,-0.521436719,0.083378806,339.8425695,-159.9177745,93.95307671,-0.053387335
0.0156,-0.482959897,0.064435181,345.6284322,-146.99542,93.95141314,-0.04941793
0.0157,-0.443814665,0.046956876,350.923138,-133.864177,93.94987875,-0.045387445
0.0158,-0.404056787,0.030967886,355.7191628,-120.5427056,93.94847543,-0.041300816
0.0159,-0.363742885,0.016490086,360.0096912,-107.0499365,93.94720493,-0.037163122
0.016,-0.322930359,0.003543199,363.7886261,-93.40504359,93.94606881,-0.032979576
0.0161,-0.281677309,-0.007855232,367.0505975,-79.62741698,93.94506846,-0.028755521
0.0162,-0.240042443,-0.017689867,369.7909699,-65.73663545,93.94420511,-0.024496421
0.0163,-0.198085005,-0.025947591,372.0058491,-51.75243857,93.94347981,-0.020207855
0.0164,-0.155864681,-0.032617533,373.6920876,-37.69469863,93.94289341,-0.015895509
0.0165,-0.113441519,-0.037691081,374.8472893,-23.58339247,93.9424466,-0.011565169
